Sp1	Invader	Count1	Count2	Total	fAA	Date	Group	Rep	Pass
CG.A1.9	AA.0	26000.00	120000.00	146000.00	0.82	20210802	CG	A1	9
CG.A1.9	AA.0	28000.00	74000.00	102000.00	0.73	20210802	CG	A1	9
CG.A1.9	AA.0	1600.00	200.00	1800.00	0.11	20210802	CG	A1	9
CG.A1.9	AA.0	24000.00	600.00	24600.00	0.02	20210802	CG	A1	9
CG.A1.9	AA.0	33600.00	200.00	33800.00	0.01	20210802	CG	A1	9
CG.A1.9	AA.0	22000.00	54000.00	76000.00	0.71	20210802	CG	A1	9
CG.A1.9	AA.0	264000.00	4000.00	268000.00	0.01	20210802	CG	A1	9
CG.A1.9	AA.0	28000.00	20000.00	48000.00	0.42	20210802	CG	A1	9
CG.A1.9	AA.0	20800.00	20800.00	41600.00	0.50	20210802	CG	A1	9
CG.A1.9	AA.0	48000.00	0.00	48000.00	0.00	20210802	CG	A1	9
CG.A1.9	AA.0	16000.00	9800.00	25800.00	0.38	20210802	CG	A1	9
CG.A1.9	AA.0	26000.00	4000.00	30000.00	0.13	20210802	CG	A1	9
CG.A1.9	AA.3	120.00	60.00	180.00	0.33	20210308	CG	A1	9
CG.A1.9	AA.3	380.00	20.00	400.00	0.05	20210308	CG	A1	9
CG.A1.9	AA.3	620.00	0.00	620.00	0.00	20210308	CG	A1	9
CG.A1.9	AA.3	600.00	100.00	700.00	0.14	20210308	CG	A1	9
CG.A1.9	AA.3	5400.00	3600.00	9000.00	0.40	20210308	CG	A1	9
CG.A1.9	AA.3	14600.00	200.00	14800.00	0.01	20210308	CG	A1	9
CG.A1.9	AA.3	352000.00	30000.00	382000.00	0.08	20210802	CG	A1	9
CG.A1.9	AA.3	168000.00	14000.00	182000.00	0.08	20210802	CG	A1	9
CG.A1.9	AA.3	74000.00	12000.00	86000.00	0.14	20210802	CG	A1	9
CG.A1.9	AA.3	160000.00	168000.00	328000.00	0.51	20210802	CG	A1	9
CG.A1.9	AA.3	336000.00	0.00	336000.00	0.00	20210802	CG	A1	9
CG.A1.9	AA.3	160000.00	58000.00	218000.00	0.27	20210802	CG	A1	9
CG.A1.9	AA.3	2400.00	32000.00	34400.00	0.93	20210802	CG	A1	9
CG.A1.9	AA.3	180000.00	158000.00	338000.00	0.47	20210802	CG	A1	9
CG.A1.9	AA.3	176000.00	0.00	176000.00	0.00	20210802	CG	A1	9
CG.A1.9	AA.3	320000.00	0.00	320000.00	0.00	20210802	CG	A1	9
CG.A1.9	AA.3	6000.00	1400.00	7400.00	0.19	20210802	CG	A1	9
CG.A1.9	AA.3	30000.00	328000.00	358000.00	0.92	20210802	CG	A1	9
CG.A1.9	AA.3	80.00	20.00	100.00	0.20	20210308	CG	A1	9
CG.I2.9	AA.0	60.00	40.00	100.00	0.40	20220126	CG	I2	9
CG.I2.9	AA.0	120.00	0.00	120.00	0.00	20220126	CG	I2	9
CG.I2.9	AA.0	800.00	200.00	1000.00	0.20	20220126	CG	I2	9
CG.I2.9	AA.0	2400.00	0.00	2400.00	0.00	20220126	CG	I2	9
CG.I2.9	AA.0	800.00	1800.00	2600.00	0.69	20220126	CG	I2	9
CG.I2.9	AA.0	1200.00	3400.00	4600.00	0.74	20220126	CG	I2	9
CG.I2.9	AA.0	5000.00	0.00	5000.00	0.00	20220126	CG	I2	9
CG.I2.9	AA.3	20.00	80.00	100.00	0.80	20211215	CG	I2	9
CG.I2.9	AA.3	120.00	80.00	200.00	0.40	20211215	CG	I2	9
CG.I2.9	AA.3	180.00	40.00	220.00	0.18	20211215	CG	I2	9
CG.I2.9	AA.3	140.00	240.00	380.00	0.63	20211215	CG	I2	9
CG.I2.9	AA.3	600.00	400.00	1000.00	0.40	20211215	CG	I2	9
CG.I2.9	AA.3	2.00	1200.00	1202.00	1.00	20211215	CG	I2	9
CG.I2.9	AA.3	80.00	100.00	180.00	0.56	20220126	CG	I2	9
CG.I2.9	AA.3	260.00	0.00	260.00	0.00	20220126	CG	I2	9
CG.I2.9	AA.3	260.00	100.00	360.00	0.28	20220126	CG	I2	9
CG.I2.9	AA.3	400.00	400.00	800.00	0.50	20220126	CG	I2	9
CG.I2.9	AA.3	800.00	200.00	1000.00	0.20	20220126	CG	I2	9
CG.I2.9	AA.3	2000.00	1400.00	3400.00	0.41	20220126	CG	I2	9
CG.I2.9	AA.3	4200.00	2400.00	6600.00	0.36	20220126	CG	I2	9
MO.0	AA.0	980.00	0.00	980.00	0.00	20210301	MO	0	0
MO.0	AA.0	4000.00	0.00	4000.00	0.00	20210301	MO	0	0
MO.0	AA.0	5120.00	160.00	5280.00	0.03	20210301	MO	0	0
MO.0	AA.0	15800.00	20.00	15820.00	0.00	20210301	MO	0	0
MO.0	AA.0	24800.00	20.00	24820.00	0.00	20210301	MO	0	0
MO.0	AA.0	26400.00	600.00	27000.00	0.02	20210301	MO	0	0
MO.0	AA.0	32000.00	200.00	32200.00	0.01	20210301	MO	0	0
MO.0	AA.0	43200.00	0.00	43200.00	0.00	20210301	MO	0	0
MO.0	AA.0	55000.00	600.00	55600.00	0.01	20210301	MO	0	0
MO.0	AA.0	55000.00	800.00	55800.00	0.01	20210301	MO	0	0
MO.0	AA.0	56000.00	1200.00	57200.00	0.02	20210301	MO	0	0
MO.0	AA.0	95200.00	2600.00	97800.00	0.03	20210301	MO	0	0
MO.0	AA.0	154.00	0.00	154.00	0.00	20210726	MO	0	0
MO.0	AA.0	96.00	64.00	160.00	0.40	20210726	MO	0	0
MO.0	AA.0	6.00	176.00	182.00	0.97	20210726	MO	0	0
MO.0	AA.0	352.00	42.00	394.00	0.11	20210726	MO	0	0
MO.0	AA.0	1000.00	256.00	1256.00	0.20	20210726	MO	0	0
MO.0	AA.0	1400.00	40.00	1440.00	0.03	20210726	MO	0	0
MO.0	AA.0	1600.00	8.00	1608.00	0.00	20210726	MO	0	0
MO.0	AA.0	3520.00	20.00	3540.00	0.01	20210726	MO	0	0
MO.0	AA.0	8000.00	4800.00	12800.00	0.38	20210726	MO	0	0
MO.0	AA.0	14000.00	0.00	14000.00	0.00	20210726	MO	0	0
MO.0	AA.0	16600.00	0.00	16600.00	0.00	20210726	MO	0	0
MO.0	AA.0	34400.00	58400.00	92800.00	0.63	20210726	MO	0	0
MO.0	AA.3	120.00	0.00	120.00	0.00	20210301	MO	0	0
MO.0	AA.3	2000.00	880.00	2880.00	0.31	20210301	MO	0	0
MO.0	AA.3	9400.00	0.00	9400.00	0.00	20210301	MO	0	0
MO.0	AA.3	12600.00	0.00	12600.00	0.00	20210301	MO	0	0
MO.0	AA.3	12800.00	0.00	12800.00	0.00	20210301	MO	0	0
MO.0	AA.3	18400.00	0.00	18400.00	0.00	20210301	MO	0	0
MO.0	AA.3	18400.00	20.00	18420.00	0.00	20210301	MO	0	0
MO.0	AA.3	20000.00	0.00	20000.00	0.00	20210301	MO	0	0
MO.0	AA.3	28800.00	20.00	28820.00	0.00	20210301	MO	0	0
MO.0	AA.3	41600.00	0.00	41600.00	0.00	20210301	MO	0	0
MO.0	AA.3	29600.00	13000.00	42600.00	0.31	20210301	MO	0	0
MO.0	AA.3	59200.00	0.00	59200.00	0.00	20210301	MO	0	0
MO.0	AA.3	60.00	480.00	540.00	0.89	20210726	MO	0	0
MO.0	AA.3	600.00	58.00	658.00	0.09	20210726	MO	0	0
MO.0	AA.3	6000.00	200.00	6200.00	0.03	20210726	MO	0	0
MO.0	AA.3	9200.00	400.00	9600.00	0.04	20210726	MO	0	0
MO.0	AA.3	9600.00	0.00	9600.00	0.00	20210726	MO	0	0
MO.0	AA.3	10000.00	200.00	10200.00	0.02	20210726	MO	0	0
MO.0	AA.3	20000.00	400.00	20400.00	0.02	20210726	MO	0	0
MO.0	AA.3	14000.00	14000.00	28000.00	0.50	20210726	MO	0	0
MO.0	AA.3	32000.00	0.00	32000.00	0.00	20210726	MO	0	0
MO.0	AA.3	50400.00	800.00	51200.00	0.02	20210726	MO	0	0
MO.0	AA.3	12000.00	52000.00	64000.00	0.81	20210726	MO	0	0
MO.0	AA.3	80000.00	4400.00	84400.00	0.05	20210726	MO	0	0
MO.A1.9	AA.0	16000.00	20.00	16020.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	19200.00	0.00	19200.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	20000.00	20.00	20020.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	29600.00	0.00	29600.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	30400.00	0.00	30400.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	38400.00	0.00	38400.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	48000.00	0.00	48000.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	48000.00	20.00	48020.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	69600.00	0.00	69600.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	104000.00	0.00	104000.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.0	520.00	18.00	538.00	0.03	20210726	MO	A1	9
MO.A1.9	AA.0	640.00	100.00	740.00	0.14	20210726	MO	A1	9
MO.A1.9	AA.0	2000.00	80.00	2080.00	0.04	20210726	MO	A1	9
MO.A1.9	AA.0	640.00	5040.00	5680.00	0.89	20210726	MO	A1	9
MO.A1.9	AA.0	6000.00	40.00	6040.00	0.01	20210726	MO	A1	9
MO.A1.9	AA.0	13600.00	60.00	13660.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.0	16000.00	2600.00	18600.00	0.14	20210726	MO	A1	9
MO.A1.9	AA.0	50000.00	400.00	50400.00	0.01	20210726	MO	A1	9
MO.A1.9	AA.0	60000.00	0.00	60000.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.0	63400.00	0.00	63400.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.0	4000.00	60000.00	64000.00	0.94	20210726	MO	A1	9
MO.A1.9	AA.0	67200.00	3200.00	70400.00	0.05	20210726	MO	A1	9
MO.A1.9	AA.3	2040.00	0.00	2040.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	3600.00	0.00	3600.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	5600.00	0.00	5600.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	7400.00	20.00	7420.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	16600.00	200.00	16800.00	0.01	20210301	MO	A1	9
MO.A1.9	AA.3	29600.00	1000.00	30600.00	0.03	20210301	MO	A1	9
MO.A1.9	AA.3	32000.00	20.00	32020.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	34400.00	5000.00	39400.00	0.13	20210301	MO	A1	9
MO.A1.9	AA.3	42400.00	0.00	42400.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	140000.00	0.00	140000.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	160000.00	400.00	160400.00	0.00	20210301	MO	A1	9
MO.A1.9	AA.3	520.00	20.00	540.00	0.04	20210726	MO	A1	9
MO.A1.9	AA.3	5000.00	0.00	5000.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.3	6000.00	60.00	6060.00	0.01	20210726	MO	A1	9
MO.A1.9	AA.3	8000.00	0.00	8000.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.3	8000.00	600.00	8600.00	0.07	20210726	MO	A1	9
MO.A1.9	AA.3	6400.00	2960.00	9360.00	0.32	20210726	MO	A1	9
MO.A1.9	AA.3	30400.00	80.00	30480.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.3	30400.00	4200.00	34600.00	0.12	20210726	MO	A1	9
MO.A1.9	AA.3	46400.00	0.00	46400.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.3	80000.00	0.00	80000.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.3	80000.00	400.00	80400.00	0.00	20210726	MO	A1	9
MO.A1.9	AA.3	160000.00	21600.00	181600.00	0.12	20210726	MO	A1	9
MO.I2.9	AA.0	4000.00	20.00	4020.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	4400.00	0.00	4400.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	4600.00	0.00	4600.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	6000.00	0.00	6000.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	6000.00	20.00	6020.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	7000.00	0.00	7000.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	7000.00	0.00	7000.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	7000.00	200.00	7200.00	0.03	20211215	MO	I2	9
MO.I2.9	AA.0	7400.00	40.00	7440.00	0.01	20211215	MO	I2	9
MO.I2.9	AA.0	8000.00	20.00	8020.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	8400.00	0.00	8400.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.0	200.00	0.00	200.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.0	240.00	0.00	240.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.0	540.00	0.00	540.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.0	400.00	400.00	800.00	0.50	20220126	MO	I2	9
MO.I2.9	AA.0	1200.00	600.00	1800.00	0.33	20220126	MO	I2	9
MO.I2.9	AA.0	2600.00	800.00	3400.00	0.24	20220126	MO	I2	9
MO.I2.9	AA.0	2000.00	1600.00	3600.00	0.44	20220126	MO	I2	9
MO.I2.9	AA.0	2200.00	2400.00	4600.00	0.52	20220126	MO	I2	9
MO.I2.9	AA.0	4000.00	1000.00	5000.00	0.20	20220126	MO	I2	9
MO.I2.9	AA.0	2200.00	4000.00	6200.00	0.65	20220126	MO	I2	9
MO.I2.9	AA.0	4000.00	5000.00	9000.00	0.56	20220126	MO	I2	9
MO.I2.9	AA.0	7000.00	4400.00	11400.00	0.39	20220126	MO	I2	9
MO.I2.9	AA.0	120.00	0.00	120.00	0.00	20220216	MO	I2	9
MO.I2.9	AA.0	140.00	0.00	140.00	0.00	20220216	MO	I2	9
MO.I2.9	AA.0	140.00	2.00	142.00	0.01	20220216	MO	I2	9
MO.I2.9	AA.0	420.00	6.00	426.00	0.01	20220216	MO	I2	9
MO.I2.9	AA.0	200.00	280.00	480.00	0.58	20220216	MO	I2	9
MO.I2.9	AA.0	0.00	800.00	800.00	1.00	20220216	MO	I2	9
MO.I2.9	AA.0	1200.00	1200.00	2400.00	0.50	20220216	MO	I2	9
MO.I2.9	AA.0	3400.00	20.00	3420.00	0.01	20220216	MO	I2	9
MO.I2.9	AA.0	1400.00	4200.00	5600.00	0.75	20220216	MO	I2	9
MO.I2.9	AA.0	3400.00	3400.00	6800.00	0.50	20220216	MO	I2	9
MO.I2.9	AA.3	2200.00	60.00	2260.00	0.03	20211215	MO	I2	9
MO.I2.9	AA.3	2600.00	400.00	3000.00	0.13	20211215	MO	I2	9
MO.I2.9	AA.3	3000.00	800.00	3800.00	0.21	20211215	MO	I2	9
MO.I2.9	AA.3	3600.00	200.00	3800.00	0.05	20211215	MO	I2	9
MO.I2.9	AA.3	5000.00	0.00	5000.00	0.00	20211215	MO	I2	9
MO.I2.9	AA.3	4400.00	1000.00	5400.00	0.19	20211215	MO	I2	9
MO.I2.9	AA.3	5400.00	800.00	6200.00	0.13	20211215	MO	I2	9
MO.I2.9	AA.3	6200.00	400.00	6600.00	0.06	20211215	MO	I2	9
MO.I2.9	AA.3	6000.00	1400.00	7400.00	0.19	20211215	MO	I2	9
MO.I2.9	AA.3	7000.00	800.00	7800.00	0.10	20211215	MO	I2	9
MO.I2.9	AA.3	6600.00	1200.00	7800.00	0.15	20211215	MO	I2	9
MO.I2.9	AA.3	6000.00	3400.00	9400.00	0.36	20211215	MO	I2	9
MO.I2.9	AA.3	140.00	0.00	140.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	320.00	4.00	324.00	0.01	20220126	MO	I2	9
MO.I2.9	AA.3	400.00	14.00	414.00	0.03	20220126	MO	I2	9
MO.I2.9	AA.3	1200.00	0.00	1200.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	3800.00	0.00	3800.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	6000.00	0.00	6000.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	6000.00	0.00	6000.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	6000.00	0.00	6000.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	6000.00	20.00	6020.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	6000.00	20.00	6020.00	0.00	20220126	MO	I2	9
MO.I2.9	AA.3	6000.00	200.00	6200.00	0.03	20220126	MO	I2	9
MO.I2.9	AA.3	7000.00	160.00	7160.00	0.02	20220126	MO	I2	9
MO.I2.9	AA.3	60.00	200.00	260.00	0.77	20220216	MO	I2	9
MO.I2.9	AA.3	620.00	60.00	680.00	0.09	20220216	MO	I2	9
MO.I2.9	AA.3	2200.00	40.00	2240.00	0.02	20220216	MO	I2	9
MO.I2.9	AA.3	1400.00	1000.00	2400.00	0.42	20220216	MO	I2	9
MO.I2.9	AA.3	3200.00	0.00	3200.00	0.00	20220216	MO	I2	9
MO.I2.9	AA.3	3800.00	20.00	3820.00	0.01	20220216	MO	I2	9
MO.I2.9	AA.3	5000.00	1800.00	6800.00	0.26	20220216	MO	I2	9
MO.I2.9	AA.3	3000.00	4800.00	7800.00	0.62	20220216	MO	I2	9
MO.I2.9	AA.3	4600.00	5000.00	9600.00	0.52	20220216	MO	I2	9
MO.I2.9	AA.3	10000.00	200.00	10200.00	0.02	20220216	MO	I2	9
OP50	AA.0	180.00	0.00	180.00	0.00	20210207	OP50	0	0
OP50	AA.0	180.00	0.00	180.00	0.00	20210207	OP50	0	0
OP50	AA.0	180.00	0.00	180.00	0.00	20210207	OP50	0	0
OP50	AA.0	3200.00	0.00	3200.00	0.00	20210207	OP50	0	0
OP50	AA.0	3800.00	0.00	3800.00	0.00	20210207	OP50	0	0
OP50	AA.0	160.00	0.00	160.00	0.00	20210222	OP50	0	0
OP50	AA.0	160.00	28.00	188.00	0.15	20210222	OP50	0	0
OP50	AA.0	200.00	420.00	620.00	0.68	20210222	OP50	0	0
OP50	AA.0	540.00	200.00	740.00	0.27	20210222	OP50	0	0
OP50	AA.0	700.00	160.00	860.00	0.19	20210222	OP50	0	0
OP50	AA.0	1000.00	440.00	1440.00	0.31	20210222	OP50	0	0
OP50	AA.0	4880.00	120.00	5000.00	0.02	20210222	OP50	0	0
OP50	AA.0	6080.00	960.00	7040.00	0.14	20210222	OP50	0	0
OP50	AA.0	8000.00	480.00	8480.00	0.06	20210222	OP50	0	0
OP50	AA.0	640.00	8960.00	9600.00	0.93	20210222	OP50	0	0
OP50	AA.0	400.00	20000.00	20400.00	0.98	20210222	OP50	0	0
OP50	AA.0	14000.00	8000.00	22000.00	0.36	20210802	OP50	0	0
OP50	AA.0	6000.00	60000.00	66000.00	0.91	20210802	OP50	0	0
OP50	AA.0	0.00	60000.00	60000.00	1.00	20210802	OP50	0	0
OP50	AA.0	40.00	260.00	300.00	0.87	20210802	OP50	0	0
OP50	AA.0	0.00	60000.00	60000.00	1.00	20210802	OP50	0	0
OP50	AA.0	200.00	14000.00	14200.00	0.99	20210802	OP50	0	0
OP50	AA.0	2000.00	60000.00	62000.00	0.97	20210802	OP50	0	0
OP50	AA.0	0.00	8000.00	8000.00	1.00	20210802	OP50	0	0
OP50	AA.0	600.00	400.00	1000.00	0.40	20210802	OP50	0	0
OP50	AA.0	0.00	18000.00	18000.00	1.00	20210802	OP50	0	0
OP50	AA.0	30000.00	12000.00	42000.00	0.29	20210802	OP50	0	0
OP50	AA.0	200.00	2600.00	2800.00	0.93	20210802	OP50	0	0
OP50	AA.3	20.00	120.00	140.00	0.86	20210207	OP50	0	0
OP50	AA.3	3000.00	0.00	3000.00	0.00	20210207	OP50	0	0
OP50	AA.3	20.00	158.00	178.00	0.89	20210222	OP50	0	0
OP50	AA.3	96.00	212.00	308.00	0.69	20210222	OP50	0	0
OP50	AA.3	820.00	620.00	1440.00	0.43	20210222	OP50	0	0
OP50	AA.3	1920.00	760.00	2680.00	0.28	20210222	OP50	0	0
OP50	AA.3	2640.00	300.00	2940.00	0.10	20210222	OP50	0	0
OP50	AA.3	3440.00	2560.00	6000.00	0.43	20210222	OP50	0	0
OP50	AA.3	8000.00	160.00	8160.00	0.02	20210222	OP50	0	0
OP50	AA.3	580.00	8000.00	8580.00	0.93	20210222	OP50	0	0
OP50	AA.3	740.00	8000.00	8740.00	0.92	20210222	OP50	0	0
OP50	AA.3	10000.00	240.00	10240.00	0.02	20210222	OP50	0	0
OP50	AA.3	200.00	20000.00	20200.00	0.99	20210222	OP50	0	0
OP50	AA.3	14000.00	14000.00	28000.00	0.50	20210222	OP50	0	0
OP50	AA.3	10000.00	28000.00	38000.00	0.74	20210802	OP50	0	0
OP50	AA.3	8000.00	16000.00	24000.00	0.67	20210802	OP50	0	0
OP50	AA.3	2000.00	60000.00	62000.00	0.97	20210802	OP50	0	0
OP50	AA.3	8000.00	4000.00	12000.00	0.33	20210802	OP50	0	0
OP50	AA.3	0.00	400.00	400.00	1.00	20210802	OP50	0	0
OP50	AA.3	800.00	400.00	1200.00	0.33	20210802	OP50	0	0
OP50	AA.3	0.00	1400.00	1400.00	1.00	20210802	OP50	0	0
OP50	AA.3	2000.00	32000.00	34000.00	0.94	20210802	OP50	0	0
OP50	AA.3	400.00	200.00	600.00	0.33	20210802	OP50	0	0
OP50	AA.3	12000.00	12000.00	24000.00	0.50	20210802	OP50	0	0
OP50	AA.3	80.00	120.00	200.00	0.60	20210802	OP50	0	0
OP50	AA.3	0.00	120.00	120.00	1.00	20210802	OP50	0	0
PM.A1.5	AA.0	120.00	0.00	120.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.0	200.00	0.00	200.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.0	1600.00	0.00	1600.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.0	1600.00	20.00	1620.00	0.01	20220216	PM	A1	5
PM.A1.5	AA.0	1600.00	200.00	1800.00	0.11	20220216	PM	A1	5
PM.A1.5	AA.0	800.00	1400.00	2200.00	0.64	20220216	PM	A1	5
PM.A1.5	AA.0	4400.00	0.00	4400.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.0	4800.00	0.00	4800.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.0	6800.00	0.00	6800.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.0	7000.00	400.00	7400.00	0.05	20220216	PM	A1	5
PM.A1.5	AA.0	8000.00	0.00	8000.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.3	220.00	4.00	224.00	0.02	20220216	PM	A1	5
PM.A1.5	AA.3	320.00	0.00	320.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.3	800.00	1400.00	2200.00	0.64	20220216	PM	A1	5
PM.A1.5	AA.3	2800.00	0.00	2800.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.3	5000.00	800.00	5800.00	0.14	20220216	PM	A1	5
PM.A1.5	AA.3	6000.00	0.00	6000.00	0.00	20220216	PM	A1	5
PM.A1.5	AA.3	5800.00	200.00	6000.00	0.03	20220216	PM	A1	5
PM.A1.5	AA.3	4000.00	3000.00	7000.00	0.43	20220216	PM	A1	5
PM.A1.5	AA.3	5600.00	1600.00	7200.00	0.22	20220216	PM	A1	5
PM.A1.5	AA.3	6000.00	1800.00	7800.00	0.23	20220216	PM	A1	5
PM.A1.5	AA.3	7400.00	2400.00	9800.00	0.24	20220216	PM	A1	5
PM.A1.5	AA.3	6000.00	4000.00	10000.00	0.40	20220216	PM	A1	5
PM.A1.9	AA.0	1200.00	0.00	1200.00	0.00	20210207	PM	A1	9
PM.A1.9	AA.0	1200.00	0.00	1200.00	0.00	20210207	PM	A1	9
PM.A1.9	AA.0	1400.00	0.00	1400.00	0.00	20210207	PM	A1	9
