Sp1	Sp2	Date	Rep	Sp1_0	Sp2_0	Sp1_F	Sp2_F	p0	pF
PM.A1.9	AA.3	20200816	4	1.00E+08	2.10E+06	4.40E+09	1.00E+09	0.02	0.19
PM.I2.9	AA.0	20220125	1	1.30E+08	2.50E+08	2.00E+09	2.80E+09	0.66	0.58
PM.I2.9	AA.0	20220125	2	1.30E+08	2.50E+08	5.00E+09	2.20E+09	0.66	0.31
PM.I2.9	AA.0	20220125	3	1.30E+08	2.50E+08	5.40E+09	4.60E+09	0.66	0.46
PM.I2.9	AA.0	20220125	4	1.30E+08	2.50E+08	4.20E+09	3.20E+09	0.66	0.43
PM.I2.9	AA.0	20220125	1	1.30E+08	2.00E+07	5.20E+09	2.20E+09	0.13	0.30
PM.I2.9	AA.0	20220125	2	1.30E+08	2.00E+07	2.40E+09	2.00E+09	0.13	0.45
PM.I2.9	AA.0	20220125	3	1.30E+08	2.00E+07	1.80E+09	1.60E+09	0.13	0.47
PM.I2.9	AA.0	20220125	4	1.30E+08	2.00E+07	2.20E+09	3.20E+09	0.13	0.59
PM.I2.9	AA.0	20220125	1	1.30E+08	2.10E+06	5.00E+09	6.00E+08	0.02	0.11
PM.I2.9	AA.0	20220125	2	1.30E+08	2.10E+06	2.40E+09	1.20E+09	0.02	0.33
PM.I2.9	AA.0	20220125	3	1.30E+08	2.10E+06	4.00E+09	1.40E+09	0.02	0.26
PM.I2.9	AA.0	20220125	4	1.30E+08	2.10E+06	5.00E+09	6.00E+08	0.02	0.11
PM.I2.9	AA.3	20220125	1	1.30E+08	2.50E+08	2.80E+09	2.60E+09	0.66	0.48
PM.I2.9	AA.3	20220125	2	1.30E+08	2.50E+08	2.60E+09	3.20E+09	0.66	0.55
PM.I2.9	AA.3	20220125	3	1.30E+08	2.50E+08	2.00E+09	3.20E+09	0.66	0.62
PM.I2.9	AA.3	20220125	4	1.30E+08	2.50E+08	2.60E+09	1.40E+09	0.66	0.35
PM.I2.9	AA.3	20220125	1	1.30E+08	1.80E+07	6.00E+09	4.80E+09	0.12	0.44
PM.I2.9	AA.3	20220125	2	1.30E+08	1.80E+07	3.40E+09	3.40E+09	0.12	0.50
PM.I2.9	AA.3	20220125	3	1.30E+08	1.80E+07	4.60E+09	4.60E+09	0.12	0.50
PM.I2.9	AA.3	20220125	4	1.30E+08	1.80E+07	3.60E+09	3.60E+09	0.12	0.50
PM.I2.9	AA.3	20220125	1	1.30E+08	1.90E+06	3.00E+09	8.00E+08	0.01	0.21
PM.I2.9	AA.3	20220125	2	1.30E+08	1.90E+06	5.60E+09	1.20E+09	0.01	0.18
PM.I2.9	AA.3	20220125	3	1.30E+08	1.90E+06	5.20E+09	1.40E+09	0.01	0.21
PM.I2.9	AA.3	20220125	4	1.30E+08	1.90E+06	4.40E+09	1.20E+09	0.01	0.21
PM.A1.5	AA.0	20220304	1	1.00E+08	4.00E+07	3.20E+09	1.80E+09	0.29	0.36
PM.A1.5	AA.0	20220304	2	1.00E+08	4.00E+07	2.00E+09	2.00E+08	0.29	0.09
PM.A1.5	AA.0	20220304	3	1.00E+08	4.00E+07	2.00E+09	6.00E+08	0.29	0.23
PM.A1.5	AA.0	20220304	4	1.00E+08	4.00E+07	1.60E+09	4.00E+08	0.29	0.20
PM.A1.5	AA.0	20220304	1	1.00E+08	7.00E+06	3.00E+09	0.00E+00	0.07	0.00
PM.A1.5	AA.0	20220304	2	1.00E+08	7.00E+06	2.20E+09	0.00E+00	0.07	0.00
PM.A1.5	AA.0	20220304	3	1.00E+08	7.00E+06	2.20E+09	0.00E+00	0.07	0.00
PM.A1.5	AA.0	20220304	4	1.00E+08	7.00E+06	1.40E+09	2.00E+08	0.07	0.13
PM.A1.5	AA.0	20220304	1	1.00E+08	2.00E+05	4.20E+08	0.00E+00	0.00	0.00
PM.A1.5	AA.0	20220304	2	1.00E+08	2.00E+05	3.60E+08	0.00E+00	0.00	0.00
PM.A1.5	AA.0	20220304	3	1.00E+08	2.00E+05	3.20E+08	0.00E+00	0.00	0.00
PM.A1.5	AA.0	20220304	4	1.00E+08	2.00E+05	1.60E+08	0.00E+00	0.00	0.00
PM.A1.5	AA.3	20220304	1	1.00E+08	2.30E+08	2.40E+09	3.20E+09	0.70	0.57
PM.A1.5	AA.3	20220304	2	1.00E+08	2.30E+08	1.20E+09	1.20E+09	0.70	0.50
PM.A1.5	AA.3	20220304	3	1.00E+08	2.30E+08	1.00E+09	2.20E+09	0.70	0.69
PM.A1.5	AA.3	20220304	4	1.00E+08	2.30E+08	1.80E+09	1.60E+09	0.70	0.47
PM.A1.5	AA.3	20220304	1	1.00E+08	2.00E+07	3.60E+09	2.20E+09	0.17	0.38
PM.A1.5	AA.3	20220304	2	1.00E+08	2.00E+07	2.80E+09	4.00E+08	0.17	0.13
PM.A1.5	AA.3	20220304	3	1.00E+08	2.00E+07	1.20E+09	2.00E+08	0.17	0.14
PM.A1.5	AA.3	20220304	4	1.00E+08	2.00E+07	1.20E+09	6.00E+08	0.17	0.33
PM.A1.5	AA.3	20220304	1	1.00E+08	1.60E+06	2.20E+09	0.00E+00	0.02	0.00
PM.A1.5	AA.3	20220304	2	1.00E+08	1.60E+06	2.20E+09	2.00E+08	0.02	0.08
PM.A1.5	AA.3	20220304	3	1.00E+08	1.60E+06	4.00E+08	2.00E+08	0.02	0.33
PM.A1.5	AA.3	20220304	4	1.00E+08	1.60E+06	1.60E+09	0.00E+00	0.02	0.00
PM.I2.5	AA.0	20201316	1	5.00E+07	1.80E+08	1.00E+10	2.40E+10	0.78	0.71
PM.I2.5	AA.0	20201316	2	5.00E+07	1.80E+08	6.00E+09	2.40E+10	0.78	0.80
PM.I2.5	AA.0	20201316	3	5.00E+07	1.80E+08	1.40E+10	2.80E+10	0.78	0.67
PM.I2.5	AA.0	20201316	4	5.00E+07	1.80E+08	2.00E+10	3.00E+10	0.78	0.60
PM.I2.5	AA.0	20201316	1	5.00E+07	1.40E+07	2.60E+09	2.00E+08	0.22	0.07
PM.I2.5	AA.0	20201316	2	5.00E+07	1.40E+07	4.00E+09	2.40E+09	0.22	0.38
PM.I2.5	AA.0	20201316	3	5.00E+07	1.40E+07	8.00E+09	1.40E+10	0.22	0.64
PM.I2.5	AA.0	20201316	4	5.00E+07	1.40E+07	2.00E+10	2.20E+10	0.22	0.52
PM.I2.5	AA.0	20201316	1	5.00E+07	1.50E+06	3.20E+09	0.00E+00	0.03	0.00
PM.I2.5	AA.0	20201316	2	5.00E+07	1.50E+06	3.80E+09	6.00E+07	0.03	0.02
PM.I2.5	AA.0	20201316	3	5.00E+07	1.50E+06	2.00E+09	2.00E+08	0.03	0.09
PM.I2.5	AA.0	20201316	4	5.00E+07	1.50E+06	2.40E+09	2.00E+08	0.03	0.08
PM.I2.5	AA.3	20201316	1	5.00E+07	2.00E+08	4.00E+09	8.00E+09	0.80	0.67
PM.I2.5	AA.3	20201316	2	5.00E+07	2.00E+08	1.20E+10	4.00E+09	0.80	0.25
PM.I2.5	AA.3	20201316	3	5.00E+07	2.00E+08	4.00E+09	4.00E+09	0.80	0.50
PM.I2.5	AA.3	20201316	4	5.00E+07	2.00E+08	1.00E+10	6.00E+09	0.80	0.38
PM.I2.5	AA.3	20201316	1	5.00E+07	2.00E+07	3.40E+09	6.00E+08	0.29	0.15
PM.I2.5	AA.3	20201316	2	5.00E+07	2.00E+07	4.00E+09	1.40E+09	0.29	0.26
PM.I2.5	AA.3	20201316	3	5.00E+07	2.00E+07	5.00E+09	2.00E+09	0.29	0.29
PM.I2.5	AA.3	20201316	4	5.00E+07	2.00E+07	4.80E+09	1.20E+09	0.29	0.20
PM.I2.5	AA.3	20201316	1	5.00E+07	2.10E+06	6.00E+09	1.00E+08	0.04	0.02
PM.I2.5	AA.3	20201316	2	5.00E+07	2.10E+06	4.20E+09	0.00E+00	0.04	0.00
PM.I2.5	AA.3	20201316	3	5.00E+07	2.10E+06	3.00E+09	2.00E+08	0.04	0.06
PM.I2.5	AA.3	20201316	4	5.00E+07	2.10E+06	5.00E+09	2.00E+08	0.04	0.04
