Condition	Community	Invader	Date	ID	AA	CG	MO	PM	D	nAA	nCG	nMO	nPM	Total	fAA	fCG	fMO	fPM
AI.AA0	A1.PM.I2	AA.0	20220729	14	0	0.5	18	7	2	0	100	3600	1400	5100	0.00	0.02	0.71	0.27
AI.AA0	A1.PM.I2	AA.0	20220729	15	24	0.3	88	13	2	4800	60	17600	2600	25060	0.19	0.00	0.70	0.10
AI.AA0	A1.PM.I2	AA.0	20220729	16	9	29	44	8	2	1800	5800	8800	1600	18000	0.10	0.32	0.49	0.09
AI.AA0	A1.PM.I2	AA.0	20220729	17	17	0.7	85	16	2	3400	140	17000	3200	23740	0.14	0.01	0.72	0.13
AI.AA0	A1.PM.I2	AA.0	20220729	18	9	6	67	64	1	180	120	1340	1280	2920	0.06	0.04	0.46	0.44
AI.AA0	A1.PM.I2	AA.0	20220804	1	10	0	54	15	2	2000	0	10800	3000	15800	0.13	0.00	0.68	0.19
AI.AA0	A1.PM.I2	AA.0	20220804	2	0	0	24	57	1	0	0	480	1140	1620	0.00	0.00	0.30	0.70
AI.AA0	A1.PM.I2	AA.0	20220804	3	4	2	50	15	2	800	400	10000	3000	14200	0.06	0.03	0.70	0.21
AI.AA0	A1.PM.I2	AA.0	20220804	4	0	0	7	91	1	0	0	140	1820	1960	0.00	0.00	0.07	0.93
AI.AA0	A1.PM.I2	AA.0	20220804	5	0	0	214	46	1	0	0	4280	920	5200	0.00	0.00	0.82	0.18
AI.AA0	A1.PM.I2	AA.0	20220804	6	0	0	3.9	244	2	0	0	780	48800	49580	0.00	0.00	0.02	0.98
AI.AA0	A1.PM.I2	AA.0	20220804	7	0	0	15	30	2	0	0	3000	6000	9000	0.00	0.00	0.33	0.67
AI.AA0	A1.PM.I2	AA.0	20220804	10	11	0	47	54	2	2200	0	9400	10800	22400	0.10	0.00	0.42	0.48
AI.AA0	A1.PM.I2	AA.0	20220804	11	1	0	20	54	2	200	0	4000	10800	15000	0.01	0.00	0.27	0.72
AI.AA0	A1.PM.I2	AA.0	20220804	12	0	0	13	147	1	0	0	260	2940	3200	0.00	0.00	0.08	0.92
AI.AA0	A1.PM.I2	AA.0	20220804	13	1	0	20	11	2	200	0	4000	2200	6400	0.03	0.00	0.63	0.34
AI.AA0	A1.PM.I2	AA.0	20220804	14	10	0.1	41	7	2	2000	20	8200	1400	11620	0.17	0.00	0.71	0.12
AI.AA0	A1.PM.I2	AA.0	20220804	15	0	0	7	21	2	0	0	1400	4200	5600	0.00	0.00	0.25	0.75
AI.AA0	A1.PM.I2	AA.0	20220804	16	0.7	0	24	19	2	140	0	4800	3800	8740	0.02	0.00	0.55	0.43
AI.AA0	A1.PM.I2	AA.0	20220804	17	4	0	93	160	1	80	0	1860	3200	5140	0.02	0.00	0.36	0.62
AI.AA0	A1.PM.I2	AA.0	20220804	18	7	0	46	15	2	1400	0	9200	3000	13600	0.10	0.00	0.68	0.22
AI.AA3	A1.PM.I2	AA.3	20220729	1	10	52	133	57	2	2000	10400	26600	11400	50400	0.04	0.21	0.53	0.23
AI.AA3	A1.PM.I2	AA.3	20220729	2	3	3	20	24	1	60	60	400	480	1000	0.06	0.06	0.40	0.48
AI.AA3	A1.PM.I2	AA.3	20220729	3	7	22	248	27	2	1400	4400	49600	5400	60800	0.02	0.07	0.82	0.09
AI.AA3	A1.PM.I2	AA.3	20220729	4	56	15	8	11	2	11200	3000	1600	2200	18000	0.62	0.17	0.09	0.12
AI.AA3	A1.PM.I2	AA.3	20220729	5	10	2	10	23	1	200	40	200	460	900	0.22	0.04	0.22	0.51
AI.AA3	A1.PM.I2	AA.3	20220729	6	0	127	416	38	2	0	25400	83200	7600	116200	0.00	0.22	0.72	0.07
AI.AA3	A1.PM.I2	AA.3	20220729	7	7	46	222	31	2	1400	9200	44400	6200	61200	0.02	0.15	0.73	0.10
AI.AA3	A1.PM.I2	AA.3	20220729	8	15	35	72	37	2	3000	7000	14400	7400	31800	0.09	0.22	0.45	0.23
AI.AA3	A1.PM.I2	AA.3	20220729	9	2	5	22	35	1	40	100	440	700	1280	0.03	0.08	0.34	0.55
AI.AA3	A1.PM.I2	AA.3	20220729	10	0.4	0.2	74	8	2	80	40	14800	1600	16520	0.00	0.00	0.90	0.10
AI.AA3	A1.PM.I2	AA.3	20220729	11	0	12	170	34	2	0	2400	34000	6800	43200	0.00	0.06	0.79	0.16
AI.AA3	A1.PM.I2	AA.3	20220729	12	1	1	12	129	2	200	200	2400	25800	28600	0.01	0.01	0.08	0.90
AI.AA3	A1.PM.I2	AA.3	20220729	13	41	21	682	43	2	8200	4200	136400	8600	157400	0.05	0.03	0.87	0.05
AI.AA3	A1.PM.I2	AA.3	20220729	14	1	1	42	101	1	20	20	840	2020	2900	0.01	0.01	0.29	0.70
AI.AA3	A1.PM.I2	AA.3	20220729	15	0	14	384	210	2	0	2800	76800	42000	121600	0.00	0.02	0.63	0.35
AI.AA3	A1.PM.I2	AA.3	20220729	16	0	0.1	84	155	2	0	20	16800	31000	47820	0.00	0.00	0.35	0.65
AI.AA3	A1.PM.I2	AA.3	20220804	1	0.2	3	106	1	2	40	600	21200	200	22040	0.00	0.03	0.96	0.01
AI.AA3	A1.PM.I2	AA.3	20220804	3	0.3	0	25	95	2	60	0	5000	19000	24060	0.00	0.00	0.21	0.79
AI.AA3	A1.PM.I2	AA.3	20220804	6	1	0	115	2	2	200	0	23000	400	23600	0.01	0.00	0.97	0.02
AI.AA3	A1.PM.I2	AA.3	20220804	7	21	12	123	34	2	4200	2400	24600	6800	38000	0.11	0.06	0.65	0.18
AI.AA3	A1.PM.I2	AA.3	20220804	8	0.1	0.1	71	163	2	20	20	14200	32600	46840	0.00	0.00	0.30	0.70
AI.AA3	A1.PM.I2	AA.3	20220804	9	1.4	7	143	6	2	280	1400	28600	1200	31480	0.01	0.04	0.91	0.04
AI.AA3	A1.PM.I2	AA.3	20220804	11	0.1	0	24	1.3	2	20	0	4800	260	5080	0.00	0.00	0.94	0.05
AI.AA3	A1.PM.I2	AA.3	20220804	12	1	0	50	20	1	20	0	1000	400	1420	0.01	0.00	0.70	0.28
AI.AA3	A1.PM.I2	AA.3	20220804	13	3	0	43	1.4	2	600	0	8600	280	9480	0.06	0.00	0.91	0.03
AI.AA3	A1.PM.I2	AA.3	20220804	14	23	106	185	153	2	4600	21200	37000	30600	93400	0.05	0.23	0.40	0.33
AI.AA3	A1.PM.I2	AA.3	20220804	17	0.4	0	165	202	2	80	0	33000	40400	73480	0.00	0.00	0.45	0.55
AI.AA3	A1.PM.I2	AA.3	20220804	18	0.3	0.2	22	11	2	60	40	4400	2200	6700	0.01	0.01	0.66	0.33
AI.AA3	A1.PM.I2	AA.3	20220804	19	1	0	46	26	1	20	0	920	520	1460	0.01	0.00	0.63	0.36
I2.AA0	I2.9	AA.0	20220729	1	21	0.3	110	115	2	4200	60	22000	23000	49260	0.09	0.00	0.45	0.47
I2.AA0	I2.9	AA.0	20220729	2	0	0	2	146	2	0	0	400	29200	29600	0.00	0.00	0.01	0.99
I2.AA0	I2.9	AA.0	20220729	3	1	2	35	238	1	20	40	700	4760	5520	0.00	0.01	0.13	0.86
I2.AA0	I2.9	AA.0	20220729	4	0	0	3	59	1	0	0	60	1180	1240	0.00	0.00	0.05	0.95
I2.AA0	I2.9	AA.0	20220729	5	26	0	185	19	2	5200	0	37000	3800	46000	0.11	0.00	0.80	0.08
I2.AA0	I2.9	AA.0	20220729	6	12	0.4	135	84	1	240	8	2700	1680	4628	0.05	0.00	0.58	0.36
I2.AA0	I2.9	AA.0	20220729	7	0	0	64	22	2	0	0	12800	4400	17200	0.00	0.00	0.74	0.26
I2.AA0	I2.9	AA.0	20220729	8	5	1	77	67	2	1000	200	15400	13400	30000	0.03	0.01	0.51	0.45
I2.AA0	I2.9	AA.0	20220729	9	1	23	41	74	2	200	4600	8200	14800	27800	0.01	0.17	0.29	0.53
I2.AA0	I2.9	AA.0	20220729	10	2	12	73	519	2	400	2400	14600	103800	121200	0.00	0.02	0.12	0.86
I2.AA0	I2.9	AA.0	20220729	11	19	28	286	52	2	3800	5600	57200	10400	77000	0.05	0.07	0.74	0.14
I2.AA0	I2.9	AA.0	20220729	12	0.9	0.3	26	41	2	180	60	5200	8200	13640	0.01	0.00	0.38	0.60
I2.AA3	I2.9	AA.3	20220729	1	3	3	98	124	1	60	60	1960	2480	4560	0.01	0.01	0.43	0.54
I2.AA3	I2.9	AA.3	20220729	2	6	0	42	109	1	120	0	840	2180	3140	0.04	0.00	0.27	0.69
I2.AA3	I2.9	AA.3	20220729	3	0.2	5	67	14	2	40	1000	13400	2800	17240	0.00	0.06	0.78	0.16
I2.AA3	I2.9	AA.3	20220729	4	3	3	35	159	1	60	60	700	3180	4000	0.02	0.02	0.18	0.80
I2.AA3	I2.9	AA.3	20220729	5	0	0.1	26	16	2	0	20	5200	3200	8420	0.00	0.00	0.62	0.38
I2.AA3	I2.9	AA.3	20220729	6	2	0.6	181	10	2	400	120	36200	2000	38720	0.01	0.00	0.93	0.05
I2.AA3	I2.9	AA.3	20220729	7	2	1.6	109	433	2	400	320	21800	86600	109120	0.00	0.00	0.20	0.79
I2.AA3	I2.9	AA.3	20220729	8	3	91	14	89	2	600	18200	2800	17800	39400	0.02	0.46	0.07	0.45
I2.AA3	I2.9	AA.3	20220729	9	4	1.1	9	56	2	800	220	1800	11200	14020	0.06	0.02	0.13	0.80
I2.AA3	I2.9	AA.3	20220729	10	21	16	38	109	2	4200	3200	7600	21800	36800	0.11	0.09	0.21	0.59
I2.AA3	I2.9	AA.3	20220729	11	4	0.2	46	25	2	800	40	9200	5000	15040	0.05	0.00	0.61	0.33
I2.AA3	I2.9	AA.3	20220729	12	0	3	63	18	2	0	600	12600	3600	16800	0.00	0.04	0.75	0.21
IA.AA0	I2.PM.A1	AA.0	20220729	1	2	25	242	103	2	400	5000	48400	20600	74400	0.01	0.07	0.65	0.28
IA.AA0	I2.PM.A1	AA.0	20220729	2	4	0.2	103	11	2	800	40	20600	2200	23640	0.03	0.00	0.87	0.09
IA.AA0	I2.PM.A1	AA.0	20220729	3	0	1	18	90	1	0	20	360	1800	2180	0.00	0.01	0.17	0.83
IA.AA0	I2.PM.A1	AA.0	20220729	4	42	2	51	132	2	8400	400	10200	26400	45400	0.19	0.01	0.22	0.58
IA.AA0	I2.PM.A1	AA.0	20220729	5	0	1	18	90	1	0	20	360	1800	2180	0.00	0.01	0.17	0.83
IA.AA0	I2.PM.A1	AA.0	20220729	6	4	0	0	113	1	80	0	0	2260	2340	0.03	0.00	0.00	0.97
IA.AA0	I2.PM.A1	AA.0	20220729	7	0	0	11	55	1	0	0	220	1100	1320	0.00	0.00	0.17	0.83
IA.AA0	I2.PM.A1	AA.0	20220729	8	5	0	36	9	2	1000	0	7200	1800	10000	0.10	0.00	0.72	0.18
IA.AA0	I2.PM.A1	AA.0	20220729	9	18	6	145	39	1	360	120	2900	780	4160	0.09	0.03	0.70	0.19
IA.AA0	I2.PM.A1	AA.0	20220729	10	1	1	25	42	2	200	200	5000	8400	13800	0.01	0.01	0.36	0.61
IA.AA0	I2.PM.A1	AA.0	20220804	1	8	0	248	74	2	1600	0	49600	14800	66000	0.02	0.00	0.75	0.22
IA.AA0	I2.PM.A1	AA.0	20220804	2	0	0	93	97	1	0	0	1860	1940	3800	0.00	0.00	0.49	0.51
IA.AA0	I2.PM.A1	AA.0	20220804	3	0.2	0	16	244	2	40	0	3200	48800	52040	0.00	0.00	0.06	0.94
IA.AA0	I2.PM.A1	AA.0	20220804	6	5.1	0	17	2.2	2	1020	0	3400	440	4860	0.21	0.00	0.70	0.09
IA.AA0	I2.PM.A1	AA.0	20220804	7	0	0	39	38	1	0	0	780	760	1540	0.00	0.00	0.51	0.49
IA.AA0	I2.PM.A1	AA.0	20220804	8	0	0	11	12	2	0	0	2200	2400	4600	0.00	0.00	0.48	0.52
IA.AA0	I2.PM.A1	AA.0	20220804	9	5	0	112	17	1	100	0	2240	340	2680	0.04	0.00	0.84	0.13
IA.AA0	I2.PM.A1	AA.0	20220804	11	0.6	0	26	2.4	2	120	0	5200	480	5800	0.02	0.00	0.90	0.08
IA.AA0	I2.PM.A1	AA.0	20220804	12	4	7	46	4	2	800	1400	9200	800	12200	0.07	0.11	0.75	0.07
IA.AA0	I2.PM.A1	AA.0	20220804	13	24	10	132	28	2	4800	2000	26400	5600	38800	0.12	0.05	0.68	0.14
IA.AA0	I2.PM.A1	AA.0	20220804	14	3.1	1	154	41	2	620	200	30800	8200	39820	0.02	0.01	0.77	0.21
IA.AA0	I2.PM.A1	AA.0	20220804	15	0.9	0	31	3.9	2	180	0	6200	780	7160	0.03	0.00	0.87	0.11
IA.AA0	I2.PM.A1	AA.0	20220804	16	0	0	34	35	1	0	0	680	700	1380	0.00	0.00	0.49	0.51
IA.AA3	I2.PM.A1	AA.3	20220729	1	4	0.2	15	61	2	800	40	3000	12200	16040	0.05	0.00	0.19	0.76
IA.AA3	I2.PM.A1	AA.3	20220729	2	2	5	71	72	2	400	1000	14200	14400	30000	0.01	0.03	0.47	0.48
IA.AA3	I2.PM.A1	AA.3	20220729	3	7	2	58	223	2	1400	400	11600	44600	58000	0.02	0.01	0.20	0.77
IA.AA3	I2.PM.A1	AA.3	20220729	4	0.7	26	12	95	2	140	5200	2400	19000	26740	0.01	0.19	0.09	0.71
IA.AA3	I2.PM.A1	AA.3	20220729	5	0.7	0	30	27	2	140	0	6000	5400	11540	0.01	0.00	0.52	0.47
IA.AA3	I2.PM.A1	AA.3	20220729	7	11	3	72	106	2	2200	600	14400	21200	38400	0.06	0.02	0.38	0.55
IA.AA3	I2.PM.A1	AA.3	20220729	8	3	31	58	41	2	600	6200	11600	8200	26600	0.02	0.23	0.44	0.31
IA.AA3	I2.PM.A1	AA.3	20220729	9	10	1.5	45	118	2	2000	300	9000	23600	34900	0.06	0.01	0.26	0.68
IA.AA3	I2.PM.A1	AA.3	20220729	10	11	3	286	288	2	2200	600	57200	57600	117600	0.02	0.01	0.49	0.49
IA.AA3	I2.PM.A1	AA.3	20220729	11	0.5	2	51	94	2	100	400	10200	18800	29500	0.00	0.01	0.35	0.64
IA.AA3	I2.PM.A1	AA.3	20220729	12	33	92	35	24	2	6600	18400	7000	4800	36800	0.18	0.50	0.19	0.13
IA.AA3	I2.PM.A1	AA.3	20220729	13	7	0	92	752	1	140	0	1840	15040	17020	0.01	0.00	0.11	0.88
IA.AA3	I2.PM.A1	AA.3	20220729	14	3	0.1	42	220	2	600	20	8400	44000	53020	0.01	0.00	0.16	0.83
IA.AA3	I2.PM.A1	AA.3	20220729	15	1.1	0.6	8	52	2	220	120	1600	10400	12340	0.02	0.01	0.13	0.84
IA.AA3	I2.PM.A1	AA.3	20220729	16	4	0.4	28	120	2	800	80	5600	24000	30480	0.03	0.00	0.18	0.79
IA.AA3	I2.PM.A1	AA.3	20220729	17	5	0.5	148	89	2	1000	100	29600	17800	48500	0.02	0.00	0.61	0.37
IA.AA3	I2.PM.A1	AA.3	20220729	18	0.6	1	35	81	2	120	200	7000	16200	23520	0.01	0.01	0.30	0.69
IA.AA3	I2.PM.A1	AA.3	20220729	19	2	1	110	67	2	400	200	22000	13400	36000	0.01	0.01	0.61	0.37
IA.AA3	I2.PM.A1	AA.3	20220729	20	3	9	32	216	2	600	1800	6400	43200	52000	0.01	0.03	0.12	0.83
IA.AA3	I2.PM.A1	AA.3	20220729	21	3	1.6	18	45	2	600	320	3600	9000	13520	0.04	0.02	0.27	0.67
IA.AA3	I2.PM.A1	AA.3	20220729	22	3	0.2	36	76	2	600	40	7200	15200	23040	0.03	0.00	0.31	0.66
IA.AA3	I2.PM.A1	AA.3	20220729	23	5	0.2	27	80	2	1000	40	5400	16000	22440	0.04	0.00	0.24	0.71
IA.AA3	I2.PM.A1	AA.3	20220729	24	0.6	0.6	57	87	2	120	120	11400	17400	29040	0.00	0.00	0.39	0.60
IA.AA3	I2.PM.A1	AA.3	20220804	1	0	0	14	41	1	0	0	280	820	1100	0.00	0.00	0.25	0.75
IA.AA3	I2.PM.A1	AA.3	20220804	2	3	0	18	6	2	600	0	3600	1200	5400	0.11	0.00	0.67	0.22
IA.AA3	I2.PM.A1	AA.3	20220804	3	0	0	32	30	1	0	0	640	600	1240	0.00	0.00	0.52	0.48
IA.AA3	I2.PM.A1	AA.3	20220804	4	0.8	0.1	0.2	4	2	160	20	40	800	1020	0.16	0.02	0.04	0.78
IA.AA3	I2.PM.A1	AA.3	20220804	5	1	0	32	6	2	200	0	6400	1200	7800	0.03	0.00	0.82	0.15
IA.AA3	I2.PM.A1	AA.3	20220804	6	3	0	88	7	2	600	0	17600	1400	19600	0.03	0.00	0.90	0.07
IA.AA3	I2.PM.A1	AA.3	20220804	8	1.8	25	1.1	2	2	360	5000	220	400	5980	0.06	0.84	0.04	0.07
IA.AA3	I2.PM.A1	AA.3	20220804	9	0.4	0	1.4	12	2	80	0	280	2400	2760	0.03	0.00	0.10	0.87
IA.AA3	I2.PM.A1	AA.3	20220804	12	8	4.1	246	184	2	1600	820	49200	36800	88420	0.02	0.01	0.56	0.42
IA.AA3	I2.PM.A1	AA.3	20220804	15	1.2	0	103	5	2	240	0	20600	1000	21840	0.01	0.00	0.94	0.05
IA.AA3	I2.PM.A1	AA.3	20220804	16	1	0	14	48	1	20	0	280	960	1260	0.02	0.00	0.22	0.76
IA.AA3	I2.PM.A1	AA.3	20220804	17	0.3	0	24	3.8	2	60	0	4800	760	5620	0.01	0.00	0.85	0.14
